,textID,selected_text
56,71f4a9b495,u so dirrrrrty why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car
57,d33ed264b3,almost got a kitty yesterdaybut it didnt work out
58,77f88ea9e2,reality needs to check in schools over time to party  not tonight tho im going to bed night night
59,fe1deac869,a nice peaceful
60,e591a725ef,i still dont know what we would do though
61,2dbb28cc29,xo   dang it so its not certain    are you okay
62,a7e4ad250a,change of plans i am staying in brandon  no papaya salad for me
63,7d87899024,suck
64,461b51fa58,at starbucks with my love eff school i have work later too
65,c31d79c440,i just cried whilst watching hollyoaks   i need a life lol
66,32ee7ef6c2,looking forward to an exciting bank holiday around the diy shopslife
67,29f805a7d2,terminator salvation by myself
68,d41fe360e4,fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya
69,a04c8c8695,why do i have to enter my registration details every time i update
70,25e42b2bf2,love
71,5843d17b1d,ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek  make more flicks
72,474d10ff48,tgif is righti think i broke my toe last night  on my bad foot
73,38e69da3a1,oherr its soon then do you have plans i had a party on saturday  x
74,972dc5787d,lamont yr very young looking dude
75,0ba6aaf9aa,ignore
76,7a81537034,att cheated the system and now i have no green day tickets   you att
77,311d2b185b,breaks
78,1e46d72ec6,wish
79,390f169584,im a lady and ladies dont move couches they direct where the couches go
80,58129e4130,yay
81,e6c9e5e3ab,february
82,cb5e709de8,guess what mom adopted a kitty today  months his name is corky
83,a14b4ff440,happy birthday snickers  i hope you have the best day ever
84,5d57a5eda2,thank you
85,1e3561e921,lol man i got    hrs an iont how i woulda made it wit out my ramen noodles and tv time
86,c2ea5cb58b,not feeling all that well today
87,cde0016d6d,my ear hurts and this is my medicine gum
88,5fc411e8d1,berland lmao i know i know
89,5ffb19ae8f,gnight shar
90,76da985a47,armpit
91,3a98aa4762,happy mothers day
92,886545bbab,yes i am
93,2afe118dc3,i cant call mitch  im from sweden
94,704c53f4cf,happy
95,71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet
96,c238c4dbb7,i just watched marley  mei cried so hard
97,dc73e85417,take antibacterial to school to clean your hands when you cant go the loos
98,af63915fa9,im leaving work now trying to decide if i return on sunday afternoon or monday  am to meet a noon uk time deadline
99,eb2fc4d281,hope
100,f9382a1f7b,oooh sunshine a patch of sunshine and it will be gone by the time i leave work and replaced with rain  vent
101,54670ca807,skype call with billie but my webcam dont work
102,3ab338c459,great
103,c7c7f7f025,fml not having a car is prohibiting finding a job
104,1256e6a4d2,lol since i got twitter a little while ago it seems like loads of people setting up an account
105,990cdeae87,i want to see david cook
106,9a55d83c79,yeh me
107,c8307a482d,learning tat the scenic way  din plan to go town but somehow was herded there
108,0a21b662a4,i dont want to do anything specific i just want to see you and puppy
109,297f7d9e0f,miss
110,68901906a4,toy story  trailer premiered with up i need my computer back
111,3112944847,ughh on the phone with hp
112,8f8334ffa2,and hand made by dan  jenn sock blockers  made from exotic woods  one of which is called purple heart
113,322546026e,yay about breaking
114,e6c154f9be,sadly
115,e96d849b35,awesome
116,124e30d941,well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz
117,fbb5742bbb,adel they didnt reply yet wait till they confirm in case somebody might have translated it already
118,e90acf3c42,thats rough
119,0b0944285d,might have to go back much earlier than expected bye bye bay area
120,a11da2d3bf,playin city of villains wishin my buddies were playin with me
121,161bfc7c8a,good
122,4a65010643,riley hacked my twitter  hahaha
123,1b460c82f0,big sad face   bing doesnt work on iphone  it just takes you to the regular mobile live search
124,43e91a5488,i liked it
125,410dd99aa3,man im so sad school is ending  but then again high school might be better o
126,b3eadfc565,hilarious
127,480894125b,youre the absoute best
128,001617fca4,oh my god i cried so much watch this guys from bgt
129,52f2f23473,my near daily exercise is starting to show results
130,e7e27b0c91,welcome
131,834dc73c0c,bout to hit pmark then make one of my final meals wit the housemates
132,aeb0e9d730,you get to go home and i have to go to work
133,c672c9da1d,voted for  on cmtcom
134,cbee1946d3,nice
135,b1999f0951,sunburn
136,25510fbf89,better
137,bcb9426abb,wish
138,0d29624200,i  rupert grint of the boy ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him
139,3f0f5891ab,love your books
140,0b34e66ea3,ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat a jerk
141,11de8c0456,lost
142,d5712716e9,thank your phone for me
143,3f90f95beb,thats pretty funny
144,c108e09b19,tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak
145,7223fdccc2,tikcets are only ï¿ i so want to go
146,f254748cdb,happy mothers day
147,256453d14f,its gonna be hot here today too today is ryans last day of prek i cant believe it  ive been a sahm since i had him
148,8fd01857a9,is dreaming of the weekend awake
149,37227c0dbf,oh  me ive just returned from the supermarket of doom to find that i have nothing to drink here
150,20aff2fcb1,yay but you missed naptime
151,ca223af36e,good
152,90977e9614,love
153,433b1ab9ea,comfy
154,37771d1bc1,celeste  finally some sleep in silence
155,fa99046452,im just up  and its  o  im so lazy thank god its a bank holiday
156,14760477ad,is pretty dang tired but chambers class is for napping
157,da908a6635,i have to poop   is hogging the shitter
158,2053a455e9,yes im down to  full on my dvr  i was at  like  days ago lol i swear if i didnt have a dvr i would never watch tv
159,1ea547383b,happy muthaths day to all moms i salute you
160,6634c62acf,hahaha alright
161,c7240790da,support
162,08ede23635,good to know   thanks
163,4e87dcff0e,what are you flavor of the day
164,4b0b53bc98,weathers let me down this morningughhada gd nite tho
165,fd3a622954,just listened to condre scr and got an invitation to watch their live concert on june  in munich   postrock
166,e34af4fd97,love
167,0e8aa10a4e,very cute picture
168,29148dc95c,oh i love sunday mornings like this  mum just made scrambled eggs on toast
169,56a15cf6ca,hate working when its sunnyboohoo
170,b99969c2fb,is online
171,b0f3142cb4,bundy in  days warm weather here i come
172,5ff525b74b,wondering if i cld make things any worse than they already are answer just did
173,4fd80e66e0,a dutch marketing agency is asking job applicants to apply in  characters or less
174,e77a8f8f2d,twitter has spoiled all the fun frustratingly slow  couldnt even bid properly
175,4ea7102112,chick haha i completely agree
176,6a14956779,if we dont pack she cant leave right
177,7c2fcb712e,lolwhere u headed to
178,cdd172d6a7,great
179,d2a21b3cb7,missed
180,799e17e7a7,nice
181,0a49cdbdf6,miss
182,4a13c1093d,between the garlic pills the spider bite between your toe lolclassic and you always being hungry u are killing me  funny
183,9407ce6ccc,sighs ah well  maybe my second email will clear it up and get him approved
184,820f19ca44,missed all your tweets again joe  that time difference uk dont  about your fave supporters in the uk
185,683bb73c09,that came to my mind so i said it and it has now been adapted into my familys vocabulary
186,0d14593b11,looking forward to body works today
187,9ac13b3739,just watched yes man bahaha that movie is messed up
188,16ee71e6df,sadly
189,f5d47f04f5,too much no not unless one of the pillows ends up suffocating the one sleeping next to you
190,e131c496a2,meeting my best friend first thing in the morning to the gym omg i am still so shocked i hope you will get better soon
191,bc6d7b4364,lost
192,c87be630b5,yup theory is great but the reality is beyond imagination  i also made the same planning not knowing vs will fail on me
193,e4ad1684bb,glad to know
194,f7835156a5,woot
195,03bb148b87,i dont like monday i wish it were sunday cause thats my fun day  that was my freaking jam when i was little   i miss it
196,b47c430fda,
197,0234e16010,waiting for the last movie to finish then am test screening ghost of girlfriends past glass of wine and lolly bag in hand yay
198,be9ed19513,happy
199,bf7240df91,must head back to the office
200,2f883c6eb1,dirty
201,a1320a5050,camping at black butte lake
202,d72a60bee8,are you getting my messages or do you have to add me to recieve them soz im new to this
203,bc9ebe0002,i hate my life
204,64ddc1f8a2,sick
205,03f6b8d900,broke
206,2d475b1b23,unfair
207,87473f5175,crying real tears
208,7a09871d21,brown been holding onto this one for a while
209,96ec2855e4,panchitos burfday party tonight wish you were here kiddo
210,45cf9ba329,back from town and my mac crashed on me  but its better now
211,bab68144cd,archie andrews what were you thinking veronica
212,fc49e426f5,best
213,a172818c9e,best
214,036191bb61,but not old enough
215,3ef85c201c,bummer
216,ea348ea738,he is the truth but what about maxwell you cant forget the future father of my children
217,fd10f463c9,the racoons ate our bread
218,e6e02e1be6,fabulous
219,8112c62d00,inastory glad im not the only one hes our baby and im terrified hell think were never coming back
220,0f89951346,stupid
221,f3ec0395b0,its very pleasant i sooo rarely just have time to kill
222,37ffa83550,thank you
223,cb8c730261,good
224,be33b5cb9a,again working on the internet shop  dont think we will achieve the goal of uploading by the previously set time   will keep going
225,4fed31099f,sucked
226,de288eb45b,what causes the frustration buddy
227,7ab82d9fda,wright thank you return of the mack is the jam
228,9d8a45d308,depressing
229,d25c4179f6,sorry
230,6cd35dd82e,best
231,65275b51e2,going to bed  cant take thiss any longeerr maan
232,9fae9e3145,good luck
233,e515132ae4,thanksi really do appreciate that i know it will be the hardest thing i have ever done
234,df3c7485ae,ill miss you guys
235,bd8ba2ad7e,i just love every little thing about you
236,58be40735c,stoooopid
237,b5a0a16fd7,hi simon let me know when its done
238,044f146e5c,had an amazing night with my favorite lady friend
239,a8e17db0cc,poor
240,abda0ac082,is fixin to clean the house for my mom for mothers day
241,b01506af48,why do you think people say save the drama fo yo mama im sure even yo mama wouldnt wanna listen to ur drama ode to mothers day
242,53969f2468,i hate
243,4df63939ef,failed the rince
244,f43efa3560,my sister in law just left for her prom she looked soo pretty tears all around
245,c89e41fc7c,follow me too
246,b9ec075666,bought three books yipee  now whos with me on that readtenbooksduringthesummer thing
247,ca333e378d,bored
248,5a91b175f6,goodnight
249,ac00adda49,sick
250,cf9dc7479a,but i do emily ahahha you scare me so it would work
251,005e2e60d3,now i need to change my monitor
252,0b1fad03e9,i know dude im doing reruns making jenny watch them now too so we can have conversations lol  havent been online much
253,2c72a5582a,what about me   i vote every day for you
254,af0778ed50,having fun
255,1e0416ec46,just rocked home from maccas and now signing a petition for big bang to tour aus  lol
256,1e6f72ea44,i think the food i ate made me sick i no feel so good
257,cc930f7aa8,eagerly anticipating twitpics
258,9c202174a3,lots of tasks to complete today first wecloming new members to canadamigos social networking site  and coffee
259,b9a1df7a8a,sux
260,7b3132d3cc,chillen trying to figure this thing out gettin drunk
261,5f80970983,yay doctors  now interview then back  the doctors for blood work
262,f008d91039,ahhh memories
263,c223721eed,im siiiiiickkk  i dun feel good
264,7f8a3308f8,propellerheads has been on my harddrive for a long while just got my music repo back in shape this we and felt nostalgic
265,3f7adda0a4,glorious sunny day
266,6c60cf0bb2,i feel so sorry for her  hope she dnt cry  time
267,f77651be05,would wish the severe migrains would stop docs prescriptions arent working
268,aff740a028,lovely
269,c3f1116734,my life would suck without you  kelly clarkson
270,4b57011c85,revising for exams
271,cb4266c560,laughed
272,dcb3bb2912,hi jordan im gonna all of ui know ur busy and i know ur probably tired but please reschedule nc dont leave us out
273,f61b40624e,like
274,b6d2229b03,id love to but i think the trek from london would be a bit too much
275,299fda8c5b,hey hey
276,fbea09d42d,thinks revising in the garden from  this morning without sunscreen isnt the best idea ive had  oucccccccch
277,1b62e0c672,miserable
278,2452a0aa6a,like
279,8a821c6d63,i loooved
280,0f93ebfb23,lol get watching it again  hehe
281,dd655c5aee,hope you did great  you certainly spent enough time studying
282,e94ceb6edd,btw  downloaded iphone  sdk
283,61e8b484df,bummerrr
284,5be41389ce,its a thought sad though
285,bd0f0ebc57,me a doctor laughs oh no no no i was cranes patient at arkham aslyum but now i work for him
286,772ba56ce6,great
287,390f00c85a,weird
288,4a680661d5,congrats
289,e2505e6219,thanks
290,0d85e6d515,goose
291,086671fad9,ok lol i miss you too i hope your cramps get better i know how painful they can be
292,9c99cd9396,good review
293,f35cc8bb35,bird
294,5ba64af2fd,im extremely hungry and the only thing i have in my house is soup  i dont like soup pouts
295,dbd82ea5bd,its hilarious
296,8b6c53f38b,love
297,e8cb7f18bd,happy
298,9ea273deaa,lost
299,cf0d831059,starting the video editing of the first spanking movie we did with mina  it will be added to the next update
300,8f0bafc9dc,in effect your podcast is the audio version of your book isn plus it has the added charm of banter
301,0888d7dab7,sunny synday morning nicole is up later than usual mommy got some sleep
302,04d3c2d056,browsing  find everything about university  interior design
303,8bbaca6e4b,i have not tweeted for sixteen days i miss it  ive been having fun though d ingrid on mon was frakking awesome  bbq today
304,4a9529e753,visit si fr joemar dito bataan frm camiguin  sum of my ofcmates i are supposed to meet him this saturday  cant luwas
305,8be2d4f69f,i am soo excited
306,d9c10546e6,ugh i dont feel well again all of a sudden
307,90be8eaffb,i want a new phone  ive seen too much cellphone commercials
308,8ba332dbbd,well test that theory  with no right arm to strum with  got a feelin ill be humming my new tunes for a while
309,1086c26e82,thats so cool
310,b357b9e7d2,amazing
311,0050eebd18,for newbies like me
312,426cb788e5,gonna go and see my sister at mount sinai   shes there for at least another  hours
313,d30d23e543,it was just the handle tg
314,04a204382a,backe backe muffins
315,2bc1a7126b,relaxing
316,a2fb29c072,lasttt mondayyy of classs
317,a2bbae6c4c,yup  now i can join in on the nin access fun
318,0ce30035ac,i just walked into work all the while thinking that i was sitting in bellagio this time wednesday
319,b3505b0aa7,unfair
320,99fcc18a8d,good
321,2b6bc6920b,sunset
322,d40dd3b17b,aww thats sad  i miss seeing you guys on the big screen
323,5aa8a5280f,i knooww   my hot water bottle iss in whangamata without me ahhhhh
324,7dd57c2598,jealous
325,0142108215,thank you so much phaoloo
326,f4aba8da1c,should be thankful
327,9cf9045a3c,watching gh i feel so bad for carly  omg so  up
328,1962095a32,rofl thats what we like to hear
329,9acf7846ab,ok im frustrated there is hella dust between the screens of my blackberry
330,e4d58eb70f,sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep
331,791b4a40af,we do its been to long i think i have next weekend open when are you going to have the house warming party
332,0c415791d1,change of plans working inside bar tonight
333,3bd0bff670,thanks for following
334,c7f27553b8,good luck
335,a717783c80,at work getting a quick bite to eat before having to kill my wrist self addressing  envolopes
336,5a2add1cd8,arghhhhhhhhh i cant keep up with these twitterbones peeps
337,5999397144,undervote is just going on  im all overalled up
338,54a3eab849,making german apple slice  nom nom nom
339,77b6b38e7e,looks like its another night at the office lol
340,dd6ea8c37a,my tummy hurts
341,af08dd0be5,got about  hours sleep
342,3cd447856a,painful
343,d7765a3fd6,people in falconand boo one of them being becca
344,509033a1ff,i really need to earn money so that i can watch the pcd concert
345,b09f14d65a,the poor pirate
346,3160620b36,mozzer cancelled tonight by the looks of it
347,b2e3ebc647,booo
348,1f9644b008,morning tweat tweat twitter
349,1fee7a1358,headed home  charlies at the vet
350,42d3659c3d,i wanna b maliks from taking the stage
351,8746563ae3,happy
352,01fb29c047,bored
353,065e4c2dba,unfortunately
354,d0380dbe70,about to go to leeds shopping
355,d0c092c3ee,sadly
356,ed92ed183a,its  hs and im still at the officereally tiredwanna go home
357,75d0302de7,yay
358,96c5092f80,awwwww have fun with the fam boo boo
359,ddbc8dba62,like
360,80b61dc4e6,favorite
361,37897b1693,nt fair
362,7a4af13b01,i have nothing witty to say
363,000ceaec55,me too
364,97cd2255be,hi ho  hi ho its off to work we go
365,bebfd966a0,thanks
366,bebcdc05ad,yuuupp
367,e2ea1af68e,hey candis
368,25c3c99b1a,i was never a good stereotypical teen
369,ee27c73f40,i love my maitu n she loves me happy mothers day mama
370,f90a6f5da0,i am so sorry
371,49e9fe8b96,i want to go to singapore but my mother seems not
372,b34a3e3d72,jb on the front of factor x wooh contest timeee
373,0a96d05fdf,so u arent going to be in chicago
374,ab3f55a84d,curve
375,0437867c21,so tired
376,80ea9ba96f,had a lovely breakfast
377,4914c3c579,yay have fun
378,33bb4fcc72,sexy
379,f0da745521,lucky thats awesome
380,351d279fba,oh god a moth was living in a  power outlet  actually my powersquid
381,b5237966b8,i am craving burrito boys  large halibut with everything on it no jalepenos  line hot sauce can anybody hook me up
382,55cec41587,oh is that time for real
383,2cbc372326,so now well pay more in sales taxgreat  even worse mom and pop businesses have to double what they pay in business licenses
384,8997a62a75,love
385,bce5834e03,misses
386,a9b9f7a878,woo
387,d72edc0bb2,no tv and no internet make catherine something something
388,2fdd2501d1,anyone have some advice i need it
389,5fcaa99ec8,just found mj mouse flats at djs of course there are none left in my size
390,3dfd82c60f,dreading
391,16f31448e1,so now that i have a whole  followers  of them actual people i dont know what to write in here anymore
392,bab04dc463,haappy bank holiday   weeeeks aah
393,109b636fa5,i thought  was against licensing stores bc it takes away from the experience they want to provide
394,cc29d748cb,amichael it doesnt look like youre tired in the pic  dont work too hard
395,bf4b4c0f0b,so i slept in a littlewell a lot whooops
396,64b297c15e,cute
397,bc1fbaf4a1,good night rob sleep well safe travels tomorrow
398,f59d8d766f,weak
399,8a1bf14c15,well i will be making beds creating noise  cleaning cleaning all day long  with music  a smile  x
400,acfcaea70b,bit of new scientist this weeks an last weeks and watership down
401,97e53162ff,dear oh dear
402,c0b7788e74,my monday running so fast
403,15c531b290,playing at my old school playground still the same except them lame  got rid of the tire swing
404,23efa13d7c,happy mommahs day to your moms
405,c44b286776,cal work orhehe mind in the gutter im sittin here doin this student loan thing
406,29ed43caca,good
407,6693f9c143,youre surrounded by them i have no official niecesnephews yet
408,94e0c7c638,cant wait
409,6114b48cb9,nope i have a fifth generation ipod classic  it likes to be dumb
410,32463a2751,meetings are overrated
411,65ed990460,i love
412,505f50a90d,died
413,481e268403,i know  i am definitely going to try and see up this weekend
414,5ce968f9be,nice i will be there
415,52ad93b3fe,miss
416,e892068fd3,laugh
417,226adfd977,tonight was fun
418,47f11efc72,this creepy guy when i was walking the dog  ive had my fill of creepers for the day
419,d7b1ac80c4,good morning  just took the longest shower ive ever taken in my life like  to  min shower woah
420,401cc22f49,is on facebook
421,583bae2083,i get to drive my dad to the airport so he can fly to vegas for the wsop i wanna go to vegas
422,f003be5308,franco made breakfast for mom here hes trying to cut the strawberries only safe knife  fb
423,49ce2570e5,better in person had to send u this i feel like mouse from the american tail  over in ri
424,0693a85163,stuck
425,4b273cd32a,thank you you should know that i am both happy and sad all at the same time to know that youve got the right stuff
426,22003c0e96,merchant i agree but teenage daughter will be spending my money on the movie of their concert this week
427,0fe049b7ea,someone out there will soon  be the lucky recipient of my  tweet oh wait  this was it
428,3d1184dabd,good
429,c2392d49e0,one of our governors is one of the directors of the company
430,a25ccabf06,no internet for a week or longer
431,9b3fcf1668,jesus christ meadowhall could do with better air con too hot
432,d7746b6b68,is listening to pnk tunage and trying to teach my cat to dance to it i think shes getting it we can be backing dancers by next tour
433,86c20cf6ee,i sure she can
434,393b22b6c0,getting ready for work and the sun is shining plus its the we bgt tonight what am i gonna do after its finished
435,3c03dc0dd0,this aztec mask is harder then i thought but u kno what i think i did a pretty good job for not being an artist
436,25e2db9995,listenin to some old school new found glory hedro gimi a high school band i can down load besides home grown
437,d17a3a37e1,kelly kelly pays your bills   kaden pays em   and  just wants you to follow him lol he dosent get to pay bills
438,58f1b52257,i want to gooo
439,32489d483d,evryone come here  were spamming so much and blogtv is glitching and it might work
440,00d907ce33,loves
441,a7f2db128a,ugh fun concert
442,d39e6da95c,if you take backstreet boya and put them in silk mc hammer pants with sgt peppersbeatles coats and lame music then you have smap
443,09fea0f3a7,happy
444,31eb8ebd2a,cant wait to hear the evp and cuuuute picture
445,4dda8fd71a,headed to verizon praying that pinkberry is going to make it
446,e4d6a48aa7,awaiting reply from two projects one cancelled
447,d0b52412b8,coco still out
448,14acfa72dc,lovely sister  kiddin
449,c6d6fbb9a6,hello again  howd ur saturday go
450,797f9cddc0,why arent you showing up as a spymaster in my screen
451,4c5672e236,well sacramento i hope you appreciate rivkah sass  treat her well ill be sitting here in omaha pouting
452,d35f126ad0,great
453,efdff6dde7,idiot
454,4dd3339756,misses
455,dd3cd66574,going to bed after the cavs game  dont judge me lol
456,e83b4e9bf0,im jealous
457,7a27c3a84d,sad
458,19de569235,went twitter crazy last nigh p well thats what happens when u got nothin ta do at  oclock in da mornin
459,66f1863628,i want chocolate
460,3690fcb40e,tell me how can you not love someone like this
461,bad6311330,better
462,75499e3bd1,fun is being had
463,27d6472b81,my nose stud fell out and i cant find it  looks like ill have to head into amsterdam today and get a new one
464,80995dff29,byspork we shall see
465,ca2d9efd4c,other excellent analogy
466,12bb670169,good morning tweeps busy this am but not in a working way
467,70b4033f03,lmao im only joking mate
468,8df42cd45a,luv
469,82bc030c0d,been busy at work now must run before traffic is too bad
470,9d6473d14d,cool
471,146257b271,it was an awesome
472,2fbae49319,in a few hours guess who is sleepin in the living room
473,b56108fc36,good
474,ed54440a2e,this is what happens when i have no models
475,c135b2cef2,happier
476,48c3502151,i juz registered my cp in twitter but my tweets wont go thru arghhmm wanna follow my idols lyk  away from the pc
477,5e6040afd3,speakingspeaking
478,3ea60172a0,paid all my bills only to go out to the mailbox to find more of them
479,96e1deb162,i could but that would require today not to be a duvet day i imagine that my outfit for the wendyhouse will be photo worthy
480,819626535b,glad to hear you
481,fec3cae0c2,found a swing set for sale  blocks from home super cheap i want it  my kids but no one is answering the phone  listed
482,89d9167173,sad
483,dd911923ea,pity
484,4f8c391159,ive got cups but you gotta come get them
485,403847cf44,won
486,dad1d09bfb,loves
487,56f5217a16,happy birthday ness
488,4a9ef1f9d8,wow i really hope it gets better asthma sucks
489,5a42a51462,feels my cousin is a monkey
490,c5a584d398,charlie and the chocolate factory in the mood for some johnny depp then bed preparing for a   hour wok day tomorrow
491,fee936fdc3,wasnt the layers just absolute positioned divs web compability killer
492,2813c4cf7e,dont you hate it when youre left with one slice of bread left in the bag half sandwich
493,2246ed3d84,loves random acts of kindness and laughter
494,1b1243d0b5,gha
495,09042bf466,better
496,40e3087f9c,wish
497,ad94e8b662,friendly
498,fc0b053a31,i cant belive you only have one episode to go
499,9f2a0b0b2f,you can also watch family guy online   and yes i am a total shill
500,7516f86838,i know right  poorpoor girl it shows why they shouldnt put young people in competitions like this though
501,2492330594,not excited for  people reservation in the morning   lovin  right now for sure too
502,9aa7d6a58a,impressed  
503,083e4f782b,good
504,ba5e02305b,sad
505,9f4bb12e13,still not     im sick of being sick
506,7a01848c2e,collins im not sure i understand how this twitter thing works
507,ae285917c7,wat a stressful week i jus hope everything falls into place
508,5575fdaf3c,with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow
509,af3fbd5681,aww i got to see my  grade teachers last day before she retired
510,db7211afbf,worrying
511,23602f214f,sticks
512,c3459bc0bb,when will she b finished
513,f02eed05d0,made me cry
514,ff7126ea72,gawww why is facebook being so slow
515,567ef8c2ed,cool
516,d50a4dc3bf,bird poo update managed to clean it all off but some slight stainage remains  any tips
517,d6bd94911e,adorable
518,23bf2d69d2,i day til nyc and the journey soon begins music baby
519,a6623df1a6,love
520,34409c9b8a,love
521,6a36ea6690,if i say please reply to me dougie will you do it i double dare you
522,c5ec3e9e37,im not either we should have went out snicker although i am enjoying listening to rr and my beer
523,e74d67a818,hey esmee how u doing
524,b09824d000,muahahahhahaha   well maybe they think im crazy or something i havent scared  yet though
525,3af70d3bc2,nopenot drunksometimes i think maybe i shouldthen maybe twitter would make sense ya know
526,5e5cb6d0a9,haha
527,0db9bf3e1f,epicentre wheelock place  tourists only
528,4de0e1bb73,perfect night best month of my life
529,9a6736745f,yayy  youll can help me im doing my english homeworks which i had to do during the holidays
530,8d40f9e62d,glad
531,727e51734b,think you should do a tour in england we dont got to see any aweomse people
532,db23b82d03,puke in my mouth the brilliant response to  in my pants    over the top wrong
533,e03a74beca,good morning haha i just read that the swine flu probably not comes from pigs at all but from people poor pigs who got all the blame
534,80b171ef7a,bummed
535,d49d1b7de1,i am sorry that you are feeling that way
536,4809e143db,good movie
537,0edb544179,having the flu not the swinishone but the flu
538,c50f940f43,dont go to logan square were pretty sure the shirt isnt there   more philly local tmrw
539,9a27ba671e,you should see our floors before you make that offer  let me know if you dont receive a call soon
540,27c4e1f089,healthy
541,9965c5a810,good
542,4f6d52cbd8,prayers for my family and my dog  mozart is being put down this afternoon   pics of him at
543,6c0bac4f19,surprised
544,e692bbaf63,welcome
545,365974d586,good morning scary world
546,32db5fc0a5,happy
547,600c58d8b3,ummmm no comment lol i actually have not watched gh in about a week
548,792c269f24,i think u have more than enough friends now including me lol
549,2c6f1f637b,zsnagy presents
550,c6322a85c2,layne  hmm whats ur fav movie tv shows
551,3aa450d12d,your gonna be the first  twitter  cause your amazing lol come to canada  would do anything to see you perform
552,10ad2966fa,thankfully
553,96b3a98962,dont worry
554,b5c13364bb,failed
555,06ae0360a2,sadly no ill be going to the killumbus show i really want to but no one wants to drive me there
556,060db97af7,morning lou i have some housework to do then im off to church
557,67d5b57919,extremely happy
558,a4388148b8,hahaha n im a do the same for u
559,e43b9a1497,i love my mom happy mothers day mommies
560,527b27665d,just chilling
561,dbe35b6a0d,god why cant i be at asylum really i never get to do anything cool
562,92c4eadecf,just got in a fight and kicked out of the bar at least i knocked him out have a fat lip though  pulled another number
563,b1cec36547,best
564,1b5dea3fe9,early bird gets the worm  and in my case birder gets to witness the carnage
565,8d8c915ea5,eatout
566,9b46f1ae17,thanks
567,1c68a5f609,appreciated
568,b9a6b682b2,sorry
569,092c10bd84,wow the new google icons suck
570,84fd3611d6,he was laughing
571,9b8052833a,tell his people to contact my people
572,f9bdd41842,kill
573,13c47e9bc8,awesome
574,9a1eaacda3,youre never alone just when you think no one cares you realize that there always one person you cares for you
575,8645bcae50,dying
576,b70c6bf768,my applemouse doesnt work on my shiny red coffee table
577,f67575d0e9,in commentary   i was with her was sad very sad
578,ba93b78cfc,good
